year,MSA,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
2007,"Boise City-Nampa, ID",57.8,10.6,24.5,5.6,79.5,13.6,10.3,207800,3.6
2007,"Boston-Cambridge-Quincy, MA-NH",47.9,10.2,22.1,5.5,75.7,18.3,9.2,396400,2.8
2007,"Bridgeport-Stamford-Norwalk, CT",53.7,11.9,19.7,3.5,78.2,16.5,6.6,499000,2.6
2007,"Buffalo-Niagara Falls, NY",45.8,12.1,39.7,10.3,71.3,21.8,13.5,108300,5.3
2007,"Cape Coral-Fort Myers, FL",57,13.7,35.8,2.9,81.2,12.8,10.3,241100,8
2007,"Charlotte-Gastonia-Concord, NC-SC",52,14,28.7,7.6,74,19.2,11.4,167000,7.1
2007,"Chattanooga, TN-GA",51.4,18.2,46.6,11.3,74.2,19.4,13.9,135600,3.6
2007,"Cincinnati-Middletown, OH-KY-IN",49.9,13.4,32.4,7,74.9,18.8,11.1,156400,4.7
2007,"Cleveland-Elyria-Mentor, OH",47.4,12.9,38.4,9.4,71,22.8,12.7,152100,6.1
2007,"Colorado Springs, CO",54.7,8.1,27.3,5.8,78.2,14.4,10,216200,4.9
2007,"Columbus, OH",49.4,11,32.9,8.7,73.6,19.3,13.4,166000,5.4
2007,"Dallas-Fort Worth-Arlington, TX",51.7,18.4,28.5,5.8,74.2,18.4,12.7,145400,5.9
2007,"Dayton, OH",49.6,12.3,42.7,8.5,72.8,20.6,12.8,128400,4.7
2007,"Deltona-Daytona Beach-Ormond Beach, FL",47.7,12.5,46.5,4.8,76.7,16.9,14.5,203500,4
2007,"Denver-Aurora, CO",51.3,11.7,24.4,4.1,76.6,16.1,11.5,243400,3.4
2007,"Des Moines-West Des Moines, IA",55.1,8.7,23.4,6.9,78.9,15.1,8.7,151900,1.3
2007,"Detroit-Warren-Livonia, MI",47.7,13.2,38.8,10.1,71.6,21.8,13.9,170800,10.9
2007,"El Paso, TX",49.2,29.5,45.6,18.2,67.8,25.7,28.7,98500,2.7
2007,"Fresno, CA",48.2,27,42.8,11.5,69.6,21.9,20,296300,8.1
2007,"Grand Rapids-Wyoming, MI",51.5,12.8,36.7,9.6,75.2,17.7,13.1,147300,3.5
2007,"Greensboro-High Point, NC",49.5,17.7,31.2,9.3,72.5,20.3,16.4,138200,10.5
2007,"Greenville-Mauldin-Easley, SC",52.1,19.2,35.1,7.5,75.7,18.3,14.2,136200,6.5
2007,"Harrisburg-Carlisle, PA",52.7,11,33.3,5,79.4,15,8.7,156200,4
2007,"Hartford-West Hartford-East Hartford, CT",49.7,11.9,29.9,6.5,75.2,18.6,8.5,255300,4.6
2007,"Honolulu, HI",51.6,10.2,22.6,5.9,74.4,18.6,7.6,574400,2.1
2007,"Houston-Sugar Land-Baytown, TX",51.4,20.8,32.4,6.2,73,19.3,14.5,135800,8.8
2007,"Indianapolis-Carmel, IN",51.8,12.6,29.6,6.8,74.4,18.9,10.8,141900,7.7
2007,"Jackson, MS",44.8,16.2,45.5,10.5,66.2,26.5,16.7,121100,12.4
2007,"Jacksonville, FL",51.3,12.2,31.2,5.3,73.3,19.5,10.9,201400,10.8
2007,"Knoxville, TN",51.8,14.6,35.6,9.5,76.2,17.6,13.2,143100,5.6
2007,"Las Vegas-Paradise, NV",50.2,17.1,33.7,4,71,18.9,10.4,315300,8.6
2007,"Little Rock-North Little Rock-Conway, AR",52.5,12.9,35.1,7.6,74.1,20.4,14.3,126400,13.2
2007,"Los Angeles-Long Beach-Santa Ana, CA",46.1,23,34.2,3.9,70.1,20.5,13.3,612700,7.3
2007,"McAllen-Edinburg-Mission, TX",56.1,40.4,21.1,28.8,71.7,22.8,34.3,69700,5.1
2007,"Memphis, TN-MS-AR",44.7,16.2,46.7,14.1,64.9,27.4,18.8,132400,11.9
2007,"Miami-Fort Lauderdale-Pompano Beach, FL",46.8,17.7,35.3,7.7,70.1,21.9,12.8,310300,7.8
2007,"Milwaukee-Waukesha-West Allis, WI",48.2,11.7,40.8,7,73.2,20.4,12.7,203700,7.3
2007,"Minneapolis-St. Paul-Bloomington, MN-WI",52.6,7.5,27.4,4.5,77.9,15.6,8.4,244700,2.8
2007,"Modesto, CA",49.1,24.2,46.1,5.5,73.7,17.6,13.5,358500,5.2
2007,"New Orleans-Metairie-Kenner, LA",45,17.6,50.7,8,68.9,23.4,14.8,183800,28.2
