MSA_orig,MSA,MSA_abbr,year,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
"Atlanta-Sandy Springs-Marietta, GA","Atlanta-Sandy Springs-Marietta, GA",ATLANTA_GA,2008,48.9,12.7,35.8,7,72.3,21.1,11.7,199300,7.4
"Atlanta-Sandy Springs-Marietta, GA","Atlanta-Sandy Springs-Marietta, GA",ATLANTA_GA,2009,48,13.1,35.7,8.6,71.7,21.4,13.4,187300,5.9
"Atlanta-Sandy Springs-Marietta, GA","Atlanta-Sandy Springs-Marietta, GA",ATLANTA_GA,2010,48.7,12.5,37.9,11.3,71.6,21.6,14.8,175900,6.1
"Atlanta-Sandy Springs-Marietta, GA","Atlanta-Sandy Springs-Marietta, GA",ATLANTA_GA,2011,47.6,12.9,35.7,13.2,70.5,22.5,16.8,166100,6
"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Marietta, GA",ATLANTA_GA,2013,47.1,11.8,36.2,14.2,70.9,21.8,15.9,160800,5.9
"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Marietta, GA",ATLANTA_GA,2014,46.7,11.7,37.7,13.4,70.1,22.7,15.5,170300,6.1
"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Marietta, GA",ATLANTA_GA,2015,47.4,11.3,39.2,12.6,71.9,21.2,13.9,186300,6.2
"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Marietta, GA",ATLANTA_GA,2016,47.1,11.1,32.3,11.6,71,22,13.1,197700,6.8
"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC",AUGUSTA_GA,2007,47.7,17.4,40.8,10.4,67.6,25.5,17.3,116700,7
"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC",AUGUSTA_GA,2008,47.5,18,59.4,11.6,69,25.1,17.7,120700,7.7
"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC",AUGUSTA_GA,2009,48.2,15.6,44,12.2,68,26.2,17.7,122200,7.8
"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC",AUGUSTA_GA,2010,45.9,14.9,41.6,14.4,66.3,26.3,19.9,126200,10.2
"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC",AUGUSTA_GA,2011,46.7,14.4,37.5,15.5,67.2,25.1,18.9,126200,8.9
"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC",AUGUSTA_GA,2012,46.5,14.4,50.9,17.4,68.7,25,20.3,127900,8.2
"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC",AUGUSTA_GA,2013,44.2,14.9,48.2,17.6,67.7,25.4,19.8,123100,5.5
"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC",AUGUSTA_GA,2014,45.3,14.2,36.4,17.1,69.2,24.6,18.9,132100,6.7
"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC",AUGUSTA_GA,2016,48.6,13.4,40.4,16,69.7,23,18.2,138300,7.4
"Austin-Round Rock, TX","Austin-Round Rock, TX",AUSTIN_TX,2006,48.7,13.7,30.9,5.9,75,17,13,164100,1.9
"Austin-Round Rock, TX","Austin-Round Rock, TX",AUSTIN_TX,2007,48.2,14.3,30.7,5.6,75.1,17.4,12.7,177500,2.8
"Austin-Round Rock, TX","Austin-Round Rock, TX",AUSTIN_TX,2008,49,13.5,28.4,6.1,75.7,17.1,12.8,188500,2
"Austin-Round Rock-San Marcos, TX","Austin-Round Rock, TX",AUSTIN_TX,2010,47.8,12.5,33.7,9.6,73.4,19.3,15.9,187600,3.4
