MSA_orig,MSA,MSA_abbr,year,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
"Charlotte-Gastonia-Concord, NC-SC","Charlotte-Concord-Gastonia, NC-SC",CHARLOTTE_NC,2008,52.3,13.6,33.1,7.5,73.7,19.2,11.3,179500,8.1
"Charlotte-Gastonia-Rock Hill, NC-SC","Charlotte-Concord-Gastonia, NC-SC",CHARLOTTE_NC,2011,50.2,12.4,31.2,13.9,73.3,20.5,15.7,166100,4.8
"Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC",CHARLOTTE_NC,2013,48.4,13.1,34.3,12.7,72,21,14.8,164000,5.2
"Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC",CHARLOTTE_NC,2014,48.7,11.9,36.5,12.2,72.3,20.7,15.2,169400,4.5
"Chattanooga, TN-GA","Chattanooga, TN-GA",CHATANOOGA_TN,2007,51.4,18.2,46.6,11.3,74.2,19.4,13.9,135600,3.6
"Chattanooga, TN-GA","Chattanooga, TN-GA",CHATANOOGA_TN,2008,53.1,16.3,39.5,10,76.9,18.2,13.1,142900,5.6
"Chattanooga, TN-GA","Chattanooga, TN-GA",CHATANOOGA_TN,2009,50.8,17,40,14.9,73.6,20,17.7,138200,4.6
"Chattanooga, TN-GA","Chattanooga, TN-GA",CHATANOOGA_TN,2010,52.3,16.2,29.6,14.7,74,18.7,16,142000,4.6
"Chattanooga, TN-GA","Chattanooga, TN-GA",CHATANOOGA_TN,2011,50.4,15.7,36.6,16.5,73.5,19.5,17.6,140800,6.4
"Chattanooga, TN-GA","Chattanooga, TN-GA",CHATANOOGA_TN,2013,51.5,14.5,49.2,16.4,73.9,19.1,16.1,142600,4.1
"Chattanooga, TN-GA","Chattanooga, TN-GA",CHATANOOGA_TN,2014,48.2,13.9,36.7,15.8,72.3,21.2,15.9,145700,7.3
"Chattanooga, TN-GA","Chattanooga, TN-GA",CHATANOOGA_TN,2015,49.3,15.2,32.2,14.3,73.2,19.2,15.3,150300,5.8
"Chattanooga, TN-GA","Chattanooga, TN-GA",CHATANOOGA_TN,2016,48.1,13.5,33,12.7,78.5,15.6,14.3,160300,6
"Chicago-Joliet-Naperville, IL-IN-WI","Chicago-Joliet-Naperville, IL-IN-WI",CHICAGO_IL,2011,46.8,13.5,35.3,12.1,71.7,21.2,14.7,220200,6.4
"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Joliet-Naperville, IL-IN-WI",CHICAGO_IL,2013,47.1,12.8,36.2,13.3,72.5,20.3,14.4,206300,6.4
"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Joliet-Naperville, IL-IN-WI",CHICAGO_IL,2014,46.8,12.5,32.5,13.5,72,20.3,13.9,211800,6.3
"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Joliet-Naperville, IL-IN-WI",CHICAGO_IL,2015,46.5,12.1,33.8,13.3,72.4,20.5,13.3,224300,7.1
"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Joliet-Naperville, IL-IN-WI",CHICAGO_IL,2016,46.3,11.8,35.9,12.8,72.4,20.2,12.4,229900,10.2
"Cincinnati-Middletown, OH-KY-IN","Cincinnati-Middletown, OH-KY-IN",CINCINNATI_OH,2006,50.4,13.4,39.8,7.4,74.6,19.4,11.9,152100,5.9
"Cincinnati-Middletown, OH-KY-IN","Cincinnati-Middletown, OH-KY-IN",CINCINNATI_OH,2007,49.9,13.4,32.4,7,74.9,18.8,11.1,156400,4.7
"Cincinnati-Middletown, OH-KY-IN","Cincinnati-Middletown, OH-KY-IN",CINCINNATI_OH,2008,49.6,12.6,36.6,7.6,74.8,18.7,11.3,161200,5
"Cincinnati-Middletown, OH-KY-IN","Cincinnati-Middletown, OH-KY-IN",CINCINNATI_OH,2009,49,12.4,35.2,10.4,74.4,19.8,12.6,156400,4.1
"Cincinnati-Middletown, OH-KY-IN","Cincinnati-Middletown, OH-KY-IN",CINCINNATI_OH,2010,50.4,11.8,34.5,11.4,74.7,18.9,14,155500,4.2
"Cincinnati-Middletown, OH-KY-IN","Cincinnati-Middletown, OH-KY-IN",CINCINNATI_OH,2011,49.4,11.4,35.9,12.6,74.2,19.5,14.3,152000,4.6
"Cincinnati, OH-KY-IN","Cincinnati-Middletown, OH-KY-IN",CINCINNATI_OH,2013,49.1,10.4,40.8,12.8,72.5,20,14.5,152000,4.8
"Cincinnati, OH-KY-IN","Cincinnati-Middletown, OH-KY-IN",CINCINNATI_OH,2014,48.5,9.6,34.6,12.5,73.4,19.2,14,152100,4.6
"Cincinnati, OH-KY-IN","Cincinnati-Middletown, OH-KY-IN",CINCINNATI_OH,2015,48.7,9.5,31,11.1,73.7,19.9,13.2,159200,4.6
"Cincinnati, OH-KY-IN","Cincinnati-Middletown, OH-KY-IN",CINCINNATI_OH,2016,49.2,9.6,39.2,10.8,73.4,19.5,12.6,165200,4.7
"Cleveland-Elyria-Mentor, OH","Cleveland-Elyria-Mentor, OH",CLEVELAND_OH,2006,46.8,13.5,41.7,9,70.5,22.6,12.5,149600,4.7
"Cleveland-Elyria-Mentor, OH","Cleveland-Elyria-Mentor, OH",CLEVELAND_OH,2007,47.4,12.9,38.4,9.4,71,22.8,12.7,152100,6.1
"Cleveland-Elyria-Mentor, OH","Cleveland-Elyria-Mentor, OH",CLEVELAND_OH,2009,45.6,12.3,43.2,12.9,69.8,23.6,15.3,147400,5.8
"Cleveland-Elyria-Mentor, OH","Cleveland-Elyria-Mentor, OH",CLEVELAND_OH,2010,46.2,11.2,46,14,69.7,23.9,15.1,146700,4.9
"Cleveland-Elyria-Mentor, OH","Cleveland-Elyria-Mentor, OH",CLEVELAND_OH,2011,45.4,11.4,47.1,14.8,70.4,23.3,16,138800,4.8
"Cleveland-Elyria, OH","Cleveland-Elyria-Mentor, OH",CLEVELAND_OH,2016,45.2,9.6,40.4,15.1,69.6,23,14.5,146100,9.2
"Colorado Springs, CO","Colorado Springs, CO","Colorado Springs, CO",2008,53.9,7.7,28.4,5.3,77.4,16.4,10.6,228000,5
"Colorado Springs, CO","Colorado Springs, CO","Colorado Springs, CO",2009,54.5,6.5,24,6.7,78.9,16.1,11.2,217000,3.3
"Colorado Springs, CO","Colorado Springs, CO","Colorado Springs, CO",2010,53.4,7.1,24,8.8,77.2,17.2,13.3,214300,3.7
"Colorado Springs, CO","Colorado Springs, CO","Colorado Springs, CO",2011,54.1,6.2,24.5,9.2,78.7,15.6,12.9,214800,4.7
"Colorado Springs, CO","Colorado Springs, CO","Colorado Springs, CO",2012,53.2,5.5,16.1,8.8,76.9,17,12.8,216000,3
"Colorado Springs, CO","Colorado Springs, CO","Colorado Springs, CO",2013,53.5,6.7,19.1,10.1,77.7,16.3,10.8,211100,6.2
"Colorado Springs, CO","Colorado Springs, CO","Colorado Springs, CO",2014,52.9,7.1,22.8,10.4,76.6,16.6,12,225200,3.3
"Colorado Springs, CO","Colorado Springs, CO","Colorado Springs, CO",2015,54.4,5.5,31.5,10.9,78.9,14.8,10.6,234100,3.7
"Colorado Springs, CO","Colorado Springs, CO","Colorado Springs, CO",2016,53.5,5.6,29.4,10,78.9,14.3,11.5,249400,4.5
"Colorado Springs, CO","Colorado Springs, CO",COLORADO_SPRINGS_CO,2007,54.7,8.1,27.3,5.8,78.2,14.4,10,216200,4.9
"Columbia, SC","Columbia, SC",COLUMBIA_SC,2008,47,11.8,47.2,9.7,70.2,23.5,12.9,140500,5.5
"Columbia, SC","Columbia, SC",COLUMBIA_SC,2009,47.4,11.7,38.7,10.8,71.1,22.9,13.3,141800,6.3
"Columbia, SC","Columbia, SC",COLUMBIA_SC,2010,44.6,12.7,45.7,12.4,69.2,24.8,16.2,137100,5.3
"Columbia, SC","Columbia, SC",COLUMBIA_SC,2013,44.2,11.6,39.2,13.9,69.4,24,16.6,138900,4.7
"Columbia, SC","Columbia, SC",COLUMBIA_SC,2014,43.7,12.4,54,13.4,68.8,24.1,15.8,140800,6.5
"Columbia, SC","Columbia, SC",COLUMBIA_SC,2015,43.6,10.8,40.3,14.3,69.4,24.1,15.1,147500,6.9
"Columbia, SC","Columbia, SC",COLUMBIA_SC,2016,43.7,10.5,37.1,14,67.8,23.7,15.1,146800,7.1
"Columbus, OH","Columbus, OH",COLUMBUS_OH,2006,50.7,11.6,33.4,9.2,74.9,18.1,13.1,162100,6.6
"Columbus, OH","Columbus, OH",COLUMBUS_OH,2007,49.4,11,32.9,8.7,73.6,19.3,13.4,166000,5.4
"Columbus, OH","Columbus, OH",COLUMBUS_OH,2008,49.6,10.5,36.5,9,74,19.2,12.7,166500,6.9
"Columbus, OH","Columbus, OH",COLUMBUS_OH,2009,48.1,10.2,36,11.6,73.5,19.7,15.6,162700,5.7
"Columbus, OH","Columbus, OH",COLUMBUS_OH,2010,48.1,10.2,41,14.1,73.3,20.2,15.7,163500,5.8
"Columbus, OH","Columbus, OH",COLUMBUS_OH,2011,47.5,10,32.2,14.1,73.5,20.2,15.4,159800,5.7
"Columbus, OH","Columbus, OH",COLUMBUS_OH,2014,47.3,9.5,35.4,13.7,72.5,20.6,14.5,160800,4.8
"Columbus, OH","Columbus, OH",COLUMBUS_OH,2015,47.1,9.1,33.7,13.5,72.4,19.9,14.2,166600,4.7
"Columbus, OH","Columbus, OH",COLUMBUS_OH,2016,46.4,8.9,37.7,12.3,72.1,20,14.2,172200,5.2
"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",DALLAS_TX,2006,51.9,18.8,27.8,6.3,74.4,18.2,12.9,141100,5.6
"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",DALLAS_TX,2007,51.7,18.4,28.5,5.8,74.2,18.4,12.7,145400,5.9
"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",DALLAS_TX,2008,51.3,18.8,30.3,6.4,74.1,19.1,12.7,148600,5.5
"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",DALLAS_TX,2009,50.2,18.1,32.8,7.8,73.5,19,14.5,149700,4.8
"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",DALLAS_TX,2010,50.9,16.4,32.7,9.2,72.6,20,14.6,150400,4.7
"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",DALLAS_TX,2011,50.6,16.4,36.2,10.4,72.2,20.1,15.8,147700,4.5
"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",DALLAS_TX,2012,50.4,16.1,34.7,11.7,73.2,19.6,15,149600,4.1
"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",DALLAS_TX,2013,50.4,15.6,31.7,11.9,72.5,19.8,15,152700,4.4
"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",DALLAS_TX,2015,50.2,15.6,33,10.8,72.8,19.5,13.4,172500,4
"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",DALLAS_TX,2016,50.4,15.2,32.5,9.8,73,19.4,12.7,189100,5.1
"Dayton, OH","Dayton, OH",DAYTON_OH,2007,49.6,12.3,42.7,8.5,72.8,20.6,12.8,128400,4.7
"Dayton, OH","Dayton, OH",DAYTON_OH,2008,50.2,11.2,37.5,9.7,73.7,19.8,12.8,132000,5.2
"Dayton, OH","Dayton, OH",DAYTON_OH,2009,48.3,11.4,43.7,11.3,71.6,21.4,14.7,125600,5.6
"Dayton, OH","Dayton, OH",DAYTON_OH,2010,47.9,11,45.6,12.9,71.6,21.4,16.3,125600,4.9
"Dayton, OH","Dayton, OH",DAYTON_OH,2011,47.8,11.6,44.8,14.4,71.9,21.7,17.6,124200,6.1
"Dayton, OH","Dayton, OH",DAYTON_OH,2012,45.7,11,42.5,15.8,70.9,22.4,16.9,119500,3.9
"Dayton, OH","Dayton, OH",DAYTON_OH,2013,46.2,10.7,43.7,14.5,70.2,22.9,16.4,120600,5.5
"Dayton, OH","Dayton, OH",DAYTON_OH,2014,45.7,9.9,54.6,14,69.7,22.3,17.3,120200,4.2
"Dayton, OH","Dayton, OH",DAYTON_OH,2015,47,9.5,47.3,15,70.9,21.6,16.2,124500,4.6
"Dayton, OH","Dayton, OH",DAYTON_OH,2016,46.1,9.5,33.6,13,71.3,21.1,16.1,129700,7.9
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",DELTONA_FL,2007,47.7,12.5,46.5,4.8,76.7,16.9,14.5,203500,4
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",DELTONA_FL,2008,50.6,11.6,32.2,5.3,77.9,16.5,12.5,198700,3
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",DELTONA_FL,2009,48.5,13.4,27.7,8.6,75.7,17.3,15.1,170100,3.8
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",DELTONA_FL,2010,47.5,12.9,34.4,12.7,78,15.8,16.3,151600,3.4
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",DELTONA_FL,2011,45.8,13.5,42,15.6,76.5,17.9,17.1,128600,4.4
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",DELTONA_FL,2012,46.9,11.8,47.3,16,75.2,17.7,19.8,130000,3.3
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",DELTONA_FL,2013,47.9,10.3,53.8,14,75.1,17.7,16.2,131500,4.3
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",DELTONA_FL,2014,47.1,10.9,49,13.7,75,17.4,16.4,141400,2
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",DELTONA_FL,2015,47.7,9.1,51.7,13.5,75.3,17.7,15.3,151000,3.9
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",DELTONA_FL,2016,46.8,10.1,35.8,13,75.3,17.5,13.5,171900,3
"Denver-Aurora, CO","Denver-Aurora, CO",DENVER_CO,2006,52.6,12.6,23.7,4.1,76.8,16,11.5,245200,4.4
"Denver-Aurora, CO","Denver-Aurora, CO",DENVER_CO,2007,51.3,11.7,24.4,4.1,76.6,16.1,11.5,243400,3.4
"Denver-Aurora-Broomfield, CO","Denver-Aurora, CO",DENVER_CO,2009,50.9,11.2,27.9,5.4,77.3,16,12,248500,3.9
"Denver-Aurora-Broomfield, CO","Denver-Aurora, CO",DENVER_CO,2010,51,11.2,26.9,7.4,75.1,17,12.5,245900,2.5
"Denver-Aurora-Broomfield, CO","Denver-Aurora, CO",DENVER_CO,2011,49.2,10.3,29.4,7.8,74.7,17.7,12.8,243600,2.7
"Denver-Aurora-Lakewood, CO","Denver-Aurora, CO",DENVER_CO,2013,49.9,9.9,27.8,7.8,76.2,16.9,12.1,257000,3.7
"Denver-Aurora-Lakewood, CO","Denver-Aurora, CO",DENVER_CO,2014,49.7,10.3,29.2,8.2,75.6,16.8,10.8,276800,2.8
"Denver-Aurora-Lakewood, CO","Denver-Aurora, CO",DENVER_CO,2015,49.9,9.5,23.6,6.9,76.6,15.8,10.3,314400,3.8
"Denver-Aurora-Lakewood, CO","Denver-Aurora, CO",DENVER_CO,2016,49.3,9.2,26.1,7,76.3,15.4,9.4,349200,4.3
"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",DES_MOINES_IA,2007,55.1,8.7,23.4,6.9,78.9,15.1,8.7,151900,1.3
"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",DES_MOINES_IA,2008,55.7,8.1,22,8.5,80.1,13.1,9.2,157600,2.9
"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",DES_MOINES_IA,2009,54.4,8.1,26,10.2,78.8,15.5,10.1,155700,1.2
"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",DES_MOINES_IA,2010,53.6,8.4,28.6,10.3,76.9,16.7,9.9,151900,1.6
"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",DES_MOINES_IA,2011,53.3,8,21.4,11.7,78.1,15.1,11.1,153400,1.6
"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",DES_MOINES_IA,2012,53.6,6.8,33.3,13.8,76,17,12.3,158900,1.4
"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",DES_MOINES_IA,2013,53.7,6.8,23.9,12.6,76.5,15.8,11,159100,2.3
"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",DES_MOINES_IA,2014,53.1,7.2,34.4,13.7,78.3,15,12,164400,1.8
"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",DES_MOINES_IA,2015,51.6,8.1,30.1,12.7,76.4,16.6,10.7,164700,3.4
"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",DES_MOINES_IA,2016,50.7,8.1,30.4,11.8,76.6,16.4,9.5,175300,4
"Detroit-Warren-Livonia, MI","Detroit-Warren-Dearborn, MI",DETROIT_MI,2006,48.1,13.4,37.8,9.3,71.8,21.3,12.9,173400,11.3
"Detroit-Warren-Livonia, MI","Detroit-Warren-Dearborn, MI",DETROIT_MI,2007,47.7,13.2,38.8,10.1,71.6,21.8,13.9,170800,10.9
"Detroit-Warren-Livonia, MI","Detroit-Warren-Dearborn, MI",DETROIT_MI,2009,46.6,13.1,38.5,14.3,71.3,21.5,16.2,139900,10.1
"Detroit-Warren-Livonia, MI","Detroit-Warren-Dearborn, MI",DETROIT_MI,2010,46.8,11.9,42.2,16.5,70.3,22.5,16.6,124400,9.1
"Detroit-Warren-Livonia, MI","Detroit-Warren-Dearborn, MI",DETROIT_MI,2011,46.1,12,39.9,18.4,69.7,22.9,18,118200,9.7
"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI",DETROIT_MI,2013,46.1,11.4,43.2,17.5,69.6,22.8,16.9,120500,9.6
"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI",DETROIT_MI,2014,45.7,10.9,43.2,17.2,69.8,22.4,16.1,136400,8.7
"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI",DETROIT_MI,2015,46.1,10.7,38.4,16.4,70.3,21.8,16.1,151000,8.9
"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI",DETROIT_MI,2016,45.5,10.3,40.4,15.4,69.8,22.5,14.9,160700,9
"Durham-Chapel Hill, NC","Durham-Chapel Hill, NC",DURHAM_NC,2009,45.8,13.1,25.8,9,72.2,20.6,16,195900,5.8
"Durham-Chapel Hill, NC","Durham-Chapel Hill, NC",DURHAM_NC,2010,45.2,13.3,40.1,10.9,71.3,22.2,18.9,190000,7.1
"Durham-Chapel Hill, NC","Durham-Chapel Hill, NC",DURHAM_NC,2011,45.5,12.7,42.2,11.9,68.7,24.4,18.4,190700,7.2
"Durham-Chapel Hill, NC","Durham-Chapel Hill, NC",DURHAM_NC,2012,46.4,12.3,40.1,12.6,72.2,20.5,17.9,188500,5.2
"Durham-Chapel Hill, NC","Durham-Chapel Hill, NC",DURHAM_NC,2014,44.1,11.2,23.4,12,70.3,22.5,16.3,199200,4.8
"El Paso, TX","El Paso, TX",EL_PASO_TX,2007,49.2,29.5,45.6,18.2,67.8,25.7,28.7,98500,2.7
"El Paso, TX","El Paso, TX",EL_PASO_TX,2008,50.4,28.3,40.7,18.2,66.6,25.9,25.5,107900,2.6
"El Paso, TX","El Paso, TX",EL_PASO_TX,2009,48.8,28.3,34.4,20.1,66.3,27,23.7,109400,2.1
"El Paso, TX","El Paso, TX",EL_PASO_TX,2010,48,27.3,34.1,23.3,65.9,27.3,24.3,108200,0.9
"El Paso, TX","El Paso, TX",EL_PASO_TX,2011,45.6,26.3,38.2,23.6,64.9,26.9,24.7,114700,2.2
"El Paso, TX","El Paso, TX",EL_PASO_TX,2012,49.1,24.5,37.4,24.6,67.1,26.2,24,113200,3.3
"El Paso, TX","El Paso, TX",EL_PASO_TX,2013,46.8,25.4,34.9,24.9,66.4,27.1,22.6,110900,1.4
"El Paso, TX","El Paso, TX",EL_PASO_TX,2014,46,24.4,44.1,22.9,65.9,26,23.4,114700,3.2
"El Paso, TX","El Paso, TX",EL_PASO_TX,2015,46.5,22.7,40.4,22,68.8,22.9,20.1,113900,2.7
"El Paso, TX","El Paso, TX",EL_PASO_TX,2016,44.2,23.1,33.3,21.6,65.2,27,22.8,119600,2.7
"Fresno, CA","Fresno, CA",FRESNO_CA,2007,48.2,27,42.8,11.5,69.6,21.9,20,296300,8.1
"Fresno, CA","Fresno, CA",FRESNO_CA,2008,45.9,26.8,38.8,12.4,67.7,22.9,22.3,261900,7.2
"Fresno, CA","Fresno, CA",FRESNO_CA,2009,46.1,28.1,35.6,15.2,66.9,22.7,21.5,221700,7.5
"Fresno, CA","Fresno, CA",FRESNO_CA,2010,47.2,26.2,37,17.3,69,22,26.8,212500,6.8
"Fresno, CA","Fresno, CA",FRESNO_CA,2011,44.6,27.6,32.3,17.7,64.7,24.3,25.8,184300,5.5
"Fresno, CA","Fresno, CA",FRESNO_CA,2012,42.9,27.6,40.1,20.2,63.2,24.8,28.4,174200,8
"Fresno, CA","Fresno, CA",FRESNO_CA,2013,43.8,26.1,34,20.8,63.2,24.9,28.8,185200,6
"Fresno, CA","Fresno, CA",FRESNO_CA,2014,44,26.4,44.2,21,63.7,25,27.7,204700,6.1
"Fresno, CA","Fresno, CA",FRESNO_CA,2015,42.5,25.6,47.1,21,63.6,25.4,25.3,220100,6.1
"Fresno, CA","Fresno, CA",FRESNO_CA,2016,43.8,25.3,44,21.5,64.6,24.1,25.6,238100,6.4
"Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI",GRAND_RAPIDS_MI,2007,51.5,12.8,36.7,9.6,75.2,17.7,13.1,147300,3.5
"Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI",GRAND_RAPIDS_MI,2008,52.2,12.5,32.1,12.8,76.5,17.1,14.4,147000,2.3
"Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI",GRAND_RAPIDS_MI,2009,51.1,11.7,30,13.1,75.2,18.2,14.8,139800,1.7
"Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI",GRAND_RAPIDS_MI,2010,52,11.2,32.5,16.3,75.7,18.4,16.4,136800,2.2
"Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI",GRAND_RAPIDS_MI,2011,52,10.5,22,17,76.7,17.7,14.7,130500,2.6
"Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI",GRAND_RAPIDS_MI,2013,51.3,10.2,36.9,13.7,77.9,15.4,14,136400,2.4
"Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI",GRAND_RAPIDS_MI,2014,51.5,10,24.8,12.6,77.1,16.7,13.8,144300,2.1
"Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI",GRAND_RAPIDS_MI,2015,50.9,9.8,30.5,11.3,76.6,16.6,12.9,151300,1.7
"Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI",GRAND_RAPIDS_MI,2016,52.4,9.2,30.2,10.6,78.3,15.1,11.2,164500,2.1
"Greensboro-High Point, NC","Greensboro-High Point, NC",GREENSBORO_NC,2007,49.5,17.7,31.2,9.3,72.5,20.3,16.4,138200,10.5
"Greensboro-High Point, NC","Greensboro-High Point, NC",GREENSBORO_NC,2008,49.3,17.1,29.3,8.5,72.6,19.9,14.1,138600,6.4
"Greensboro-High Point, NC","Greensboro-High Point, NC",GREENSBORO_NC,2009,48,16.4,40.4,11.5,70.2,21.7,16.8,141400,4.9
"Greensboro-High Point, NC","Greensboro-High Point, NC",GREENSBORO_NC,2010,47.5,15.2,24.9,14,70.5,22.7,18.1,141100,4.3
"Greensboro-High Point, NC","Greensboro-High Point, NC",GREENSBORO_NC,2012,47,14.6,35.5,14.8,68.1,24.6,18.1,133800,6
"Greensboro-High Point, NC","Greensboro-High Point, NC",GREENSBORO_NC,2013,47.1,14.5,45.8,15,70.2,22.1,19.9,141700,4.7
"Greensboro-High Point, NC","Greensboro-High Point, NC",GREENSBORO_NC,2014,45.3,13.8,41.6,15.7,69.1,23.2,17.3,138600,4.4
"Greensboro-High Point, NC","Greensboro-High Point, NC",GREENSBORO_NC,2015,47,14.1,38.9,14.6,72.4,20.9,16.1,144900,5.6
"Greenville-Mauldin-Easley, SC","Greenville-Mauldin-Easley, SC",GREENVILLE_SC,2007,52.1,19.2,35.1,7.5,75.7,18.3,14.2,136200,6.5
"Greenville-Mauldin-Easley, SC","Greenville-Mauldin-Easley, SC",GREENVILLE_SC,2010,47.9,16.7,35,11.6,72.7,20.6,15.8,142600,4.6
"Greenville-Mauldin-Easley, SC","Greenville-Mauldin-Easley, SC",GREENVILLE_SC,2011,50.3,14.9,31.6,12.8,75,19.9,17.5,140200,6.5
"Greenville-Anderson-Mauldin, SC","Greenville-Mauldin-Easley, SC",GREENVILLE_SC,2013,50.1,15.3,44.4,13.8,74.2,19.4,17.4,141000,5.4
"Harrisburg-Carlisle, PA","Harrisburg-Carlisle, PA",HARRISBURG_PA,2007,52.7,11,33.3,5,79.4,15,8.7,156200,4
"Harrisburg-Carlisle, PA","Harrisburg-Carlisle, PA",HARRISBURG_PA,2008,50.7,11,27.9,6.2,78.2,16,9.5,168700,3.6
"Harrisburg-Carlisle, PA","Harrisburg-Carlisle, PA",HARRISBURG_PA,2009,50.9,11.2,39.4,6.5,77.6,16.7,9.8,167500,4.9
"Harrisburg-Carlisle, PA","Harrisburg-Carlisle, PA",HARRISBURG_PA,2010,48.6,10.3,33.5,9,73.2,19.2,10.9,168100,3.5
"Harrisburg-Carlisle, PA","Harrisburg-Carlisle, PA",HARRISBURG_PA,2011,51,9.8,36.3,8.3,76.4,17.1,10.5,169400,3.6
"Harrisburg-Carlisle, PA","Harrisburg-Carlisle, PA",HARRISBURG_PA,2012,50.4,10.6,43.1,10.3,74.9,18.3,12.4,170500,3.3
"Harrisburg-Carlisle, PA","Harrisburg-Carlisle, PA",HARRISBURG_PA,2014,49.9,10.1,29.8,10.4,75.7,17.3,11.1,171100,3.9
"Harrisburg-Carlisle, PA","Harrisburg-Carlisle, PA",HARRISBURG_PA,2016,49.3,9.6,35.4,9.9,76.4,17,9.4,183000,3.4
"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",HARTFORD_CT,2006,50.9,12.3,26.5,6.2,76.8,17.9,9,246900,3.8
"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",HARTFORD_CT,2007,49.7,11.9,29.9,6.5,75.2,18.6,8.5,255300,4.6
"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",HARTFORD_CT,2008,48.8,11.6,33.9,7.3,74,19.6,9.5,266500,4.2
"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",HARTFORD_CT,2009,48.3,11.1,40,8.7,73.8,19.7,9.2,259700,4.6
"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",HARTFORD_CT,2010,47.1,11,37.7,10.5,71.9,21.4,10.1,258300,4.5
"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",HARTFORD_CT,2011,47.9,10.6,42.6,11.5,73.2,20.6,11.4,248400,3.5
